Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDR)   (SDE)   (SDC)
2017 191 48990   4208830.070   2334850.499   4171267.350     11.656   2.282   0.139   2.421   0.377  12.025  32.859
2017 191 49020   4208830.070   2334850.499   4171267.350     11.777   2.282   0.139   2.421   0.377  12.025  32.860
2017 191 49050   4208830.070   2334850.499   4171267.350     11.498   2.282   0.139   2.421   0.377  12.026  32.861
2017 191 49080   4208830.070   2334850.499   4171267.350     11.552   2.282   0.139   2.421   0.377  12.027  32.861
2017 191 49110   4208830.070   2334850.499   4171267.350     11.328   2.282   0.139   2.421   0.378  12.027  32.861
2017 191 49140   4208830.070   2334850.499   4171267.350     11.267   2.282   0.139   2.422   0.379  12.027  32.860
2017 191 49170   4208830.070   2334850.499   4171267.350     11.022   2.282   0.139   2.422   0.381  12.028  32.862
2017 191 49200   4208830.070   2334850.499   4171267.350     11.254   2.282   0.139   2.422   0.383  12.028  32.863
2017 191 49230   4208830.070   2334850.499   4171267.350     11.323   2.282   0.139   2.422   0.384  12.029  32.863
2017 191 49260   4208830.070   2334850.499   4171267.350     11.172   2.282   0.139   2.422   0.386  12.030  32.863
2017 191 49290   4208830.070   2334850.499   4171267.350     11.189   2.282   0.139   2.422   0.389  12.031  32.863
2017 191 49320   4208830.070   2334850.499   4171267.350     11.338   2.282   0.139   2.422   0.390  12.032  32.862
2017 191 49350   4208830.070   2334850.499   4171267.350     11.260   2.282   0.139   2.422   0.392  12.033  32.862
2017 191 49380   4208830.070   2334850.499   4171267.350     11.237   2.282   0.139   2.422   0.393  12.033  32.861
2017 191 49410   4208830.070   2334850.499   4171267.350     11.476   2.282   0.139   2.422   0.395  12.034  32.864
2017 191 49440   4208830.070   2334850.499   4171267.350     11.497   2.282   0.139   2.422   0.396  12.034  32.863
2017 191 49470   4208830.070   2334850.499   4171267.350     11.196   2.282   0.139   2.422   0.397  12.035  32.862
2017 191 49500   4208830.070   2334850.499   4171267.350     11.562   2.282   0.139   2.422   0.398  12.035  32.861
2017 191 49530   4208830.070   2334850.499   4171267.350     11.416   2.282   0.140   2.422   0.399  12.035  32.860
2017 191 49560   4208830.070   2334850.499   4171267.350     11.439   2.282   0.140   2.422   0.399  12.035  32.860
2017 191 49590   4208830.070   2334850.499   4171267.350     11.416   2.282   0.140   2.422   0.399  12.034  32.859
2017 191 49620   4208830.070   2334850.499   4171267.350     11.302   2.282   0.140   2.422   0.399  12.034  32.859
2017 191 49650   4208830.070   2334850.499   4171267.350     11.440   2.282   0.139   2.422   0.400  12.034  32.859
2017 191 49680   4208830.070   2334850.499   4171267.350     11.638   2.282   0.139   2.422   0.400  12.034  32.859
2017 191 49710   4208830.070   2334850.499   4171267.350     11.791   2.282   0.139   2.422   0.401  12.034  32.859
2017 191 49740   4208830.070   2334850.499   4171267.350     11.712   2.282   0.139   2.422   0.401  12.034  32.860
2017 191 49770   4208830.070   2334850.499   4171267.350     11.116   2.282   0.139   2.422   0.401  12.034  32.860
2017 191 49800   4208830.070   2334850.499   4171267.350     11.274   2.282   0.139   2.422   0.401  12.033  32.860
2017 191 49830   4208830.070   2334850.499   4171267.350     11.171   2.282   0.139   2.421   0.401  12.033  32.859
2017 191 49860   4208830.070   2334850.499   4171267.350     10.662   2.282   0.139   2.421   0.400  12.033  32.859
2017 191 49890   4208830.070   2334850.499   4171267.350     10.819   2.282   0.139   2.421   0.399  12.033  32.858
2017 191 49920   4208830.070   2334850.499   4171267.350     10.911   2.282   0.139   2.421   0.400  12.033  32.860
2017 191 49950   4208830.070   2334850.499   4171267.350     11.058   2.282   0.139   2.422   0.403  12.033  32.860
2017 191 49980   4208830.070   2334850.499   4171267.350     11.422   2.282   0.139   2.422   0.404  12.034  32.860
2017 191 50010   4208830.070   2334850.499   4171267.350     11.349   2.282   0.139   2.422   0.404  12.035  32.859
2017 191 50040   4208830.070   2334850.499   4171267.350     11.392   2.282   0.139   2.421   0.403  12.036  32.859
2017 191 50070   4208830.070   2334850.499   4171267.350     11.361   2.282   0.139   2.421   0.401  12.036  32.858
2017 191 50100   4208830.070   2334850.499   4171267.350     11.240   2.282   0.139   2.421   0.401  12.036  32.856
2017 191 50130   4208830.070   2334850.499   4171267.350     11.171   2.282   0.138   2.421   0.402  12.036  32.856
2017 191 50160   4208830.070   2334850.499   4171267.350     11.726   2.282   0.138   2.421   0.403  12.036  32.854
2017 191 50190   4208830.070   2334850.499   4171267.350     11.532   2.282   0.138   2.420   0.403  12.037  32.851
2017 191 50220   4208830.070   2334850.499   4171267.350     11.751   2.282   0.138   2.420   0.404  12.038  32.849
2017 191 50250   4208830.070   2334850.499   4171267.350     11.259   2.282   0.138   2.420   0.406  12.039  32.845
2017 191 50280   4208830.070   2334850.499   4171267.350     11.157   2.282   0.138   2.420   0.407  12.040  32.842
2017 191 50310   4208830.070   2334850.499   4171267.350     11.226   2.282   0.138   2.420   0.407  12.040  32.839
2017 191 50340   4208830.070   2334850.499   4171267.350     11.321   2.282   0.138   2.420   0.407  12.041  32.837
2017 191 50370   4208830.070   2334850.499   4171267.350     11.397   2.282   0.138   2.420   0.407  12.041  32.836
2017 191 50400   4208830.070   2334850.499   4171267.350     11.125   2.282   0.138   2.420   0.408  12.041  32.835
2017 191 50430   4208830.070   2334850.499   4171267.350     10.932   2.282   0.138   2.420   0.408  12.041  32.833
2017 191 50460   4208830.070   2334850.499   4171267.350     12.042   2.282   0.138   2.420   0.407  12.042  32.833
2017 191 50490   4208830.070   2334850.499   4171267.350     12.012   2.282   0.138   2.420   0.408  12.043  32.834
2017 191 50520   4208830.070   2334850.499   4171267.350     11.657   2.282   0.138   2.420   0.409  12.044  32.835
2017 191 50550   4208830.070   2334850.499   4171267.350     11.764   2.282   0.138   2.420   0.410  12.044  32.836
2017 191 50580   4208830.070   2334850.499   4171267.350     11.683   2.282   0.138   2.420   0.411  12.045  32.836
2017 191 50610   4208830.070   2334850.499   4171267.350     11.425   2.282   0.138   2.420   0.412  12.045  32.836
2017 191 50640   4208830.070   2334850.499   4171267.350     11.191   2.282   0.138   2.420   0.412  12.045  32.836
2017 191 50670   4208830.070   2334850.499   4171267.350     10.974   2.282   0.138   2.420   0.413  12.045  32.836
2017 191 50700   4208830.070   2334850.499   4171267.350     11.034   2.282   0.138   2.420   0.413  12.045  32.838
2017 191 50730   4208830.070   2334850.499   4171267.350     11.325   2.282   0.138   2.420   0.413  12.044  32.838
2017 191 50760   4208830.070   2334850.499   4171267.350     11.378   2.282   0.138   2.420   0.413  12.044  32.839
2017 191 50790   4208830.070   2334850.499   4171267.350     11.407   2.282   0.138   2.421   0.413  12.044  32.838
2017 191 50820   4208830.070   2334850.499   4171267.350     11.425   2.282   0.138   2.421   0.413  12.045  32.839
2017 191 50850   4208830.070   2334850.499   4171267.350     11.334   2.282   0.138   2.421   0.414  12.046  32.839
2017 191 50880   4208830.070   2334850.499   4171267.349     11.223   2.282   0.138   2.421   0.414  12.045  32.838
2017 191 50910   4208830.070   2334850.499   4171267.349     11.186   2.282   0.138   2.421   0.415  12.045  32.837
2017 191 50940   4208830.070   2334850.499   4171267.349     11.268   2.282   0.139   2.421   0.415  12.045  32.837
2017 191 50970   4208830.070   2334850.499   4171267.349     11.415   2.282   0.139   2.421   0.415  12.045  32.836
2017 191 51000   4208830.070   2334850.499   4171267.349     11.221   2.282   0.139   2.421   0.415  12.044  32.837
2017 191 51030   4208830.070   2334850.499   4171267.350     11.408   2.282   0.139   2.422   0.416  12.044  32.835
2017 191 51060   4208830.070   2334850.499   4171267.350     11.493   2.282   0.139   2.422   0.416  12.043  32.836
2017 191 51090   4208830.070   2334850.499   4171267.350     11.464   2.282   0.140   2.422   0.417  12.043  32.837
2017 191 51120   4208830.070   2334850.499   4171267.350     11.162   2.282   0.140   2.422   0.417  12.043  32.839
2017 191 51150   4208830.070   2334850.499   4171267.350     11.287   2.282   0.140   2.422   0.418  12.043  32.839
2017 191 51180   4208830.070   2334850.499   4171267.350     11.490   2.282   0.140   2.423   0.419  12.043  32.839
2017 191 51210   4208830.070   2334850.499   4171267.350     11.240   2.282   0.140   2.423   0.420  12.043  32.843
2017 191 51240   4208830.070   2334850.499   4171267.350     11.253   2.282   0.141   2.423   0.422  12.043  32.844
2017 191 51270   4208830.070   2334850.499   4171267.350     11.413   2.282   0.141   2.423   0.423  12.042  32.844
2017 191 51300   4208830.070   2334850.499   4171267.350     11.109   2.282   0.141   2.423   0.423  12.041  32.844
2017 191 51330   4208830.070   2334850.499   4171267.350     10.984   2.282   0.141   2.424   0.424  12.041  32.845
2017 191 51360   4208830.070   2334850.499   4171267.350     11.112   2.282   0.142   2.424   0.424  12.041  32.846
2017 191 51390   4208830.070   2334850.499   4171267.350     10.985   2.282   0.142   2.424   0.425  12.042  32.847
2017 191 51420   4208830.070   2334850.499   4171267.350     11.092   2.282   0.142   2.424   0.424  12.042  32.848
2017 191 51450   4208830.070   2334850.499   4171267.350     11.522   2.282   0.142   2.424   0.425  12.042  32.848
2017 191 51480   4208830.070   2334850.499   4171267.350     11.285   2.282   0.142   2.424   0.425  12.042  32.848
2017 191 51510   4208830.070   2334850.499   4171267.350     11.534   2.282   0.142   2.424   0.425  12.042  32.847
2017 191 51540   4208830.070   2334850.499   4171267.350     11.099   2.282   0.142   2.424   0.425  12.042  32.848
2017 191 51570   4208830.070   2334850.499   4171267.350     11.036   2.282   0.142   2.424   0.426  12.042  32.849
2017 191 51600   4208830.070   2334850.499   4171267.350     10.650   2.282   0.142   2.424   0.426  12.042  32.850
2017 191 51630   4208830.070   2334850.499   4171267.350     11.019   2.282   0.142   2.424   0.426  12.042  32.851
2017 191 51660   4208830.070   2334850.499   4171267.350     10.999   2.282   0.142   2.424   0.426  12.043  32.852
2017 191 51690   4208830.070   2334850.499   4171267.350     10.946   2.282   0.142   2.425   0.427  12.043  32.852
2017 191 51720   4208830.070   2334850.499   4171267.350     10.848   2.282   0.142   2.425   0.427  12.042  32.852
2017 191 51750   4208830.070   2334850.499   4171267.350     10.820   2.282   0.142   2.425   0.428  12.042  32.851
2017 191 51780   4208830.070   2334850.499   4171267.350     10.723   2.282   0.143   2.425   0.428  12.041  32.852
2017 191 51810   4208830.070   2334850.499   4171267.350     10.758   2.282   0.143   2.425   0.427  12.039  32.851
2017 191 51840   4208830.070   2334850.499   4171267.350     10.896   2.282   0.143   2.426   0.426  12.038  32.850
2017 191 51870   4208830.070   2334850.499   4171267.350     11.042   2.282   0.143   2.426   0.424  12.035  32.850
2017 191 51900   4208830.070   2334850.499   4171267.350     10.914   2.282   0.144   2.426   0.422  12.034  32.849
2017 191 51930   4208830.070   2334850.499   4171267.350     10.750   2.282   0.144   2.427   0.424  12.034  32.849
2017 191 51960   4208830.070   2334850.499   4171267.349     10.590   2.282   0.144   2.427   0.426  12.034  32.849
2017 191 51990   4208830.070   2334850.499   4171267.349     10.445   2.282   0.145   2.427   0.428  12.034  32.848
2017 191 52020   4208830.070   2334850.499   4171267.349     10.784   2.282   0.145   2.427   0.429  12.035  32.849
2017 191 52050   4208830.070   2334850.499   4171267.349     11.015   2.282   0.145   2.427   0.430  12.036  32.850
2017 191 52080   4208830.070   2334850.499   4171267.349     11.420   2.282   0.145   2.427   0.430  12.037  32.851
2017 191 52110   4208830.070   2334850.499   4171267.349     11.351   2.282   0.145   2.428   0.430  12.037  32.850
2017 191 52140   4208830.070   2334850.499   4171267.349     11.320   2.282   0.145   2.427   0.431  12.038  32.851
2017 191 52170   4208830.070   2334850.499   4171267.349     10.814   2.282   0.145   2.427   0.431  12.039  32.852
2017 191 52200   4208830.070   2334850.499   4171267.349     10.619   2.282   0.145   2.427   0.433  12.040  32.853
2017 191 52230   4208830.070   2334850.499   4171267.349     10.905   2.282   0.145   2.427   0.434  12.041  32.855
2017 191 52260   4208830.070   2334850.499   4171267.349     12.685   2.282   0.145   2.427   0.435  12.042  32.857
2017 191 52290   4208830.070   2334850.499   4171267.349     10.812   2.282   0.144   2.427   0.436  12.043  32.857
2017 191 52320   4208830.070   2334850.499   4171267.349     10.990   2.282   0.144   2.426   0.437  12.043  32.856
2017 191 52350   4208830.070   2334850.499   4171267.349     10.880   2.282   0.144   2.426   0.438  12.043  32.856
2017 191 52380   4208830.070   2334850.499   4171267.349     11.157   2.282   0.144   2.426   0.438  12.043  32.858
2017 191 52410   4208830.070   2334850.499   4171267.350     11.142   2.282   0.144   2.426   0.439  12.043  32.858
2017 191 52440   4208830.070   2334850.499   4171267.350     10.817   2.282   0.143   2.426   0.438  12.043  32.859
2017 191 52470   4208830.070   2334850.499   4171267.350     10.980   2.282   0.143   2.426   0.438  12.044  32.859
2017 191 52500   4208830.070   2334850.499   4171267.350     11.060   2.282   0.143   2.425   0.440  12.044  32.863
2017 191 52530   4208830.070   2334850.499   4171267.350     11.149   2.282   0.143   2.425   0.440  12.045  32.864
2017 191 52560   4208830.070   2334850.499   4171267.350     11.276   2.282   0.143   2.425   0.440  12.046  32.864
2017 191 52590   4208830.070   2334850.499   4171267.350     11.330   2.282   0.143   2.425   0.441  12.047  32.864
2017 191 52620   4208830.070   2334850.499   4171267.350     11.025   2.282   0.143   2.426   0.442  12.047  32.863
2017 191 52650   4208830.070   2334850.499   4171267.350     10.863   2.282   0.143   2.426   0.443  12.047  32.862
2017 191 52680   4208830.070   2334850.499   4171267.350     10.585   2.282   0.144   2.426   0.443  12.047  32.864
2017 191 52710   4208830.070   2334850.499   4171267.350     10.298   2.282   0.144   2.426   0.443  12.047  32.865
2017 191 52740   4208830.070   2334850.499   4171267.350     10.669   2.282   0.144   2.427   0.443  12.046  32.864
2017 191 52770   4208830.070   2334850.499   4171267.349     10.629   2.282   0.144   2.427   0.444  12.046  32.864
2017 191 52800   4208830.070   2334850.499   4171267.349     10.808   2.282   0.145   2.427   0.444  12.046  32.865
2017 191 52830   4208830.070   2334850.499   4171267.349     10.940   2.282   0.145   2.427   0.443  12.046  32.866
2017 191 52860   4208830.070   2334850.499   4171267.349     10.971   2.282   0.145   2.427   0.443  12.046  32.865
2017 191 52890   4208830.070   2334850.499   4171267.349     10.756   2.282   0.145   2.428   0.444  12.047  32.864
2017 191 52920   4208830.070   2334850.499   4171267.349     10.509   2.282   0.145   2.428   0.445  12.048  32.865
2017 191 52950   4208830.070   2334850.499   4171267.349     10.452   2.282   0.145   2.427   0.446  12.048  32.865
2017 191 52980   4208830.070   2334850.499   4171267.349     10.673   2.282   0.145   2.427   0.447  12.048  32.865
2017 191 53010   4208830.070   2334850.499   4171267.349     10.454   2.282   0.145   2.427   0.447  12.048  32.864
2017 191 53040   4208830.070   2334850.499   4171267.349     10.500   2.282   0.145   2.427   0.447  12.048  32.864
2017 191 53070   4208830.070   2334850.499   4171267.349     10.699   2.282   0.145   2.427   0.448  12.048  32.864
2017 191 53100   4208830.070   2334850.499   4171267.349     10.511   2.282   0.144   2.427   0.449  12.048  32.865
2017 191 53130   4208830.070   2334850.499   4171267.349     10.537   2.282   0.144   2.427   0.450  12.048  32.866
2017 191 53160   4208830.070   2334850.499   4171267.349     10.544   2.282   0.144   2.427   0.450  12.048  32.866
2017 191 53190   4208830.070   2334850.499   4171267.349     10.438   2.282   0.144   2.426   0.450  12.049  32.867
2017 191 53220   4208830.070   2334850.499   4171267.349     10.541   2.282   0.144   2.426   0.449  12.049  32.866
2017 191 53250   4208830.070   2334850.499   4171267.349     10.388   2.282   0.144   2.426   0.449  12.049  32.868
2017 191 53280   4208830.070   2334850.499   4171267.349     10.541   2.282   0.144   2.426   0.449  12.048  32.868
2017 191 53310   4208830.070   2334850.499   4171267.349     10.319   2.282   0.143   2.426   0.449  12.048  32.868
2017 191 53340   4208830.070   2334850.499   4171267.349     10.319   2.282   0.143   2.426   0.451  12.048  32.866
2017 191 53370   4208830.070   2334850.499   4171267.349     10.338   2.282   0.143   2.426   0.452  12.048  32.866
2017 191 53400   4208830.070   2334850.499   4171267.349     10.069   2.282   0.143   2.426   0.453  12.049  32.866
2017 191 53430   4208830.070   2334850.499   4171267.349     10.214   2.282   0.143   2.425   0.455  12.050  32.867
2017 191 53460   4208830.070   2334850.499   4171267.349     10.368   2.282   0.143   2.425   0.455  12.050  32.866
2017 191 53490   4208830.070   2334850.499   4171267.349     10.349   2.282   0.143   2.425   0.454  12.050  32.867
2017 191 53520   4208830.070   2334850.499   4171267.349     10.353   2.282   0.143   2.425   0.453  12.049  32.867
2017 191 53550   4208830.070   2334850.499   4171267.349     10.434   2.282   0.143   2.425   0.453  12.049  32.867
2017 191 53580   4208830.070   2334850.499   4171267.349     10.825   2.282   0.142   2.425   0.454  12.048  32.867
2017 191 53610   4208830.070   2334850.499   4171267.349     11.138   2.282   0.142   2.425   0.455  12.048  32.867
2017 191 53640   4208830.070   2334850.499   4171267.349     11.219   2.282   0.142   2.424   0.456  12.048  32.867
2017 191 53670   4208830.070   2334850.499   4171267.349     10.809   2.282   0.142   2.424   0.457  12.048  32.868
2017 191 53700   4208830.070   2334850.499   4171267.349     10.727   2.282   0.142   2.424   0.458  12.049  32.868
2017 191 53730   4208830.070   2334850.499   4171267.349     10.460   2.282   0.141   2.424   0.460  12.049  32.868
2017 191 53760   4208830.070   2334850.499   4171267.349     10.229   2.282   0.141   2.423   0.461  12.050  32.869
2017 191 53790   4208830.070   2334850.499   4171267.349     10.109   2.282   0.141   2.423   0.462  12.050  32.870
2017 191 53820   4208830.070   2334850.499   4171267.349      9.990   2.282   0.140   2.423   0.462  12.051  32.870
2017 191 53850   4208830.070   2334850.499   4171267.349     10.125   2.282   0.140   2.423   0.463  12.051  32.872
2017 191 53880   4208830.070   2334850.498   4171267.349     10.035   2.282   0.140   2.422   0.463  12.052  32.874
2017 191 53910   4208830.070   2334850.498   4171267.349     10.145   2.282   0.140   2.422   0.463  12.052  32.875
2017 191 53940   4208830.070   2334850.498   4171267.349     10.293   2.282   0.139   2.422   0.464  12.053  32.876
2017 191 53970   4208830.070   2334850.498   4171267.349     10.278   2.282   0.139   2.421   0.464  12.053  32.877
2017 191 54000   4208830.070   2334850.498   4171267.349     10.302   2.282   0.139   2.421   0.465  12.053  32.879
2017 191 54030   4208830.070   2334850.498   4171267.349     10.148   2.282   0.138   2.421   0.465  12.054  32.880
2017 191 54060   4208830.070   2334850.498   4171267.349     10.165   2.282   0.138   2.420   0.465  12.053  32.882
2017 191 54090   4208830.070   2334850.498   4171267.349      9.899   2.282   0.137   2.420   0.464  12.053  32.883
2017 191 54120   4208830.070   2334850.498   4171267.349     10.003   2.282   0.137   2.420   0.464  12.053  32.885
2017 191 54150   4208830.070   2334850.498   4171267.349      9.699   2.282   0.137   2.419   0.463  12.052  32.886
2017 191 54180   4208830.070   2334850.498   4171267.349     10.061   2.282   0.136   2.419   0.462  12.051  32.886
2017 191 54210   4208830.070   2334850.498   4171267.349      9.977   2.282   0.136   2.419   0.462  12.050  32.887
2017 191 54240   4208830.070   2334850.498   4171267.349     10.073   2.282   0.136   2.418   0.461  12.050  32.889
2017 191 54270   4208830.070   2334850.498   4171267.349     10.036   2.282   0.135   2.418   0.462  12.050  32.891
2017 191 54300   4208830.070   2334850.498   4171267.349     10.179   2.282   0.135   2.417   0.462  12.051  32.892
2017 191 54330   4208830.070   2334850.498   4171267.349     10.201   2.282   0.134   2.417   0.464  12.051  32.894
2017 191 54360   4208830.070   2334850.498   4171267.349     10.093   2.282   0.134   2.416   0.465  12.051  32.894
2017 191 54390   4208830.070   2334850.498   4171267.349     10.309   2.282   0.134   2.416   0.466  12.051  32.895
2017 191 54420   4208830.070   2334850.498   4171267.349     10.218   2.282   0.133   2.416   0.467  12.050  32.895
2017 191 54450   4208830.070   2334850.498   4171267.349     10.041   2.282   0.133   2.415   0.468  12.049  32.894
2017 191 54480   4208830.070   2334850.498   4171267.349      9.859   2.282   0.133   2.415   0.469  12.048  32.894
2017 191 54510   4208830.070   2334850.498   4171267.349      9.803   2.282   0.133   2.415   0.469  12.047  32.894
2017 191 54540   4208830.070   2334850.498   4171267.349     10.019   2.282   0.133   2.415   0.469  12.046  32.894
2017 191 54570   4208830.070   2334850.498   4171267.349      9.706   2.282   0.133   2.415   0.469  12.045  32.895
2017 191 54600   4208830.070   2334850.498   4171267.349      9.912   2.282   0.133   2.415   0.469  12.044  32.894
2017 191 54630   4208830.070   2334850.498   4171267.349     10.027   2.282   0.133   2.415   0.470  12.043  32.895
2017 191 54660   4208830.070   2334850.498   4171267.349     10.393   2.282   0.133   2.415   0.471  12.043  32.895
2017 191 54690   4208830.070   2334850.498   4171267.349     10.492   2.282   0.133   2.415   0.471  12.043  32.896
2017 191 54720   4208830.070   2334850.498   4171267.349     10.610   2.282   0.133   2.415   0.472  12.044  32.896
2017 191 54750   4208830.070   2334850.498   4171267.349     10.552   2.282   0.133   2.416   0.473  12.044  32.896
2017 191 54780   4208830.070   2334850.498   4171267.349     10.437   2.282   0.134   2.416   0.473  12.045  32.896
2017 191 54810   4208830.070   2334850.499   4171267.349     10.614   2.282   0.134   2.416   0.473  12.045  32.896
2017 191 54840   4208830.070   2334850.499   4171267.349      9.910   2.282   0.134   2.416   0.474  12.045  32.895
2017 191 54870   4208830.070   2334850.499   4171267.349      9.745   2.282   0.134   2.416   0.474  12.044  32.894
2017 191 54900   4208830.070   2334850.499   4171267.349      9.388   2.282   0.134   2.417   0.473  12.044  32.892
2017 191 54930   4208830.070   2334850.499   4171267.349      9.187   2.282   0.134   2.416   0.472  12.044  32.892
2017 191 54960   4208830.070   2334850.499   4171267.349      9.455   2.282   0.134   2.416   0.471  12.043  32.892
2017 191 54990   4208830.070   2334850.499   4171267.349      9.423   2.282   0.134   2.416   0.470  12.042  32.893
2017 191 55020   4208830.070   2334850.499   4171267.349      9.556   2.282   0.134   2.416   0.470  12.041  32.894
2017 191 55050   4208830.070   2334850.499   4171267.349      9.739   2.282   0.134   2.416   0.469  12.041  32.894
2017 191 55080   4208830.070   2334850.499   4171267.349      9.685   2.282   0.133   2.416   0.469  12.041  32.894
2017 191 55110   4208830.070   2334850.499   4171267.349      9.652   2.282   0.133   2.415   0.469  12.041  32.894
2017 191 55140   4208830.070   2334850.499   4171267.349      9.373   2.282   0.132   2.415   0.470  12.040  32.893
2017 191 55170   4208830.070   2334850.499   4171267.349      9.274   2.282   0.132   2.414   0.470  12.039  32.894
2017 191 55200   4208830.070   2334850.499   4171267.349      9.428   2.282   0.132   2.414   0.470  12.040  32.895
2017 191 55230   4208830.070   2334850.499   4171267.349      9.781   2.282   0.131   2.414   0.471  12.040  32.897
2017 191 55260   4208830.070   2334850.499   4171267.349      9.656   2.282   0.131   2.413   0.472  12.040  32.897
2017 191 55290   4208830.071   2334850.499   4171267.349      9.859   2.282   0.131   2.413   0.473  12.041  32.898
2017 191 55320   4208830.071   2334850.499   4171267.350      9.755   2.282   0.131   2.413   0.473  12.041  32.898
2017 191 55350   4208830.071   2334850.499   4171267.350      9.732   2.282   0.131   2.413   0.473  12.041  32.898
2017 191 55380   4208830.071   2334850.499   4171267.350      9.698   2.282   0.131   2.413   0.473  12.040  32.898
2017 191 55410   4208830.071   2334850.499   4171267.350      9.534   2.282   0.131   2.413   0.474  12.039  32.899
2017 191 55440   4208830.071   2334850.499   4171267.350      9.708   2.282   0.131   2.413   0.476  12.038  32.898
2017 191 55470   4208830.071   2334850.499   4171267.350      9.474   2.282   0.131   2.413   0.477  12.037  32.897
2017 191 55500   4208830.071   2334850.499   4171267.350      9.942   2.282   0.131   2.414   0.478  12.036  32.898
2017 191 55530   4208830.071   2334850.499   4171267.350      9.889   2.282   0.131   2.414   0.478  12.036  32.898
2017 191 55560   4208830.071   2334850.499   4171267.350      9.986   2.282   0.131   2.414   0.479  12.036  32.898
2017 191 55590   4208830.071   2334850.499   4171267.350      9.753   2.282   0.131   2.414   0.480  12.036  32.899
2017 191 55620   4208830.071   2334850.499   4171267.350      9.765   2.282   0.131   2.414   0.481  12.036  32.900
2017 191 55650   4208830.071   2334850.499   4171267.350      9.947   2.282   0.131   2.414   0.481  12.037  32.900
2017 191 55680   4208830.071   2334850.499   4171267.350      9.590   2.282   0.131   2.414   0.481  12.037  32.900
2017 191 55710   4208830.071   2334850.499   4171267.350      9.921   2.282   0.131   2.414   0.480  12.038  32.899
2017 191 55740   4208830.071   2334850.499   4171267.350      9.726   2.282   0.131   2.414   0.480  12.038  32.897
2017 191 55770   4208830.071   2334850.499   4171267.350      9.794   2.282   0.131   2.414   0.480  12.038  32.898
2017 191 55800   4208830.071   2334850.499   4171267.350      9.671   2.282   0.131   2.414   0.479  12.039  32.898
2017 191 55830   4208830.071   2334850.499   4171267.350      9.708   2.282   0.131   2.414   0.480  12.040  32.902
2017 191 55860   4208830.071   2334850.499   4171267.350      9.837   2.282   0.131   2.414   0.481  12.041  32.901
2017 191 55890   4208830.071   2334850.499   4171267.350     10.131   2.282   0.132   2.414   0.480  12.041  32.902
2017 191 55920   4208830.071   2334850.499   4171267.350     10.071   2.282   0.131   2.414   0.480  12.042  32.903
2017 191 55950   4208830.071   2334850.499   4171267.350     10.328   2.282   0.131   2.414   0.481  12.043  32.904
2017 191 55980   4208830.071   2334850.499   4171267.350     10.751   2.282   0.131   2.414   0.481  12.044  32.905
2017 191 56010   4208830.071   2334850.500   4171267.350     10.868   2.282   0.132   2.414   0.481  12.045  32.906
2017 191 56040   4208830.071   2334850.500   4171267.350     10.225   2.282   0.132   2.414   0.480  12.045  32.908
2017 191 56070   4208830.071   2334850.500   4171267.350     10.232   2.282   0.132   2.414   0.479  12.046  32.908
2017 191 56100   4208830.071   2334850.500   4171267.350     10.035   2.282   0.132   2.414   0.480  12.047  32.909
2017 191 56130   4208830.071   2334850.500   4171267.350      9.656   2.282   0.132   2.414   0.481  12.048  32.909
2017 191 56160   4208830.071   2334850.500   4171267.350      9.745   2.282   0.132   2.415   0.481  12.049  32.910
2017 191 56190   4208830.071   2334850.500   4171267.350      9.775   2.282   0.132   2.415   0.481  12.050  32.911
2017 191 56220   4208830.071   2334850.500   4171267.350      9.744   2.282   0.132   2.415   0.480  12.050  32.912
2017 191 56250   4208830.071   2334850.500   4171267.350      9.647   2.282   0.132   2.415   0.481  12.051  32.912
2017 191 56280   4208830.071   2334850.500   4171267.350      9.615   2.282   0.133   2.415   0.480  12.052  32.913
2017 191 56310   4208830.071   2334850.500   4171267.350      9.592   2.282   0.133   2.415   0.479  12.052  32.914
2017 191 56340   4208830.071   2334850.500   4171267.350      9.704   2.282   0.133   2.415   0.479  12.053  32.915
2017 191 56370   4208830.071   2334850.500   4171267.350      9.656   2.282   0.133   2.416   0.479  12.054  32.916
2017 191 56400   4208830.071   2334850.500   4171267.350      9.585   2.282   0.134   2.416   0.478  12.054  32.915
2017 191 56430   4208830.071   2334850.500   4171267.350      9.736   2.282   0.134   2.417   0.478  12.054  32.916
2017 191 56460   4208830.071   2334850.500   4171267.350      9.633   2.282   0.135   2.417   0.479  12.055  32.916
2017 191 56490   4208830.071   2334850.500   4171267.350      9.763   2.282   0.135   2.417   0.481  12.055  32.915
2017 191 56520   4208830.071   2334850.500   4171267.350      9.585   2.282   0.135   2.418   0.481  12.054  32.914
2017 191 56550   4208830.071   2334850.500   4171267.350      9.594   2.282   0.136   2.418   0.481  12.054  32.915
2017 191 56580   4208830.071   2334850.500   4171267.350      9.417   2.282   0.136   2.418   0.482  12.054  32.916
2017 191 56610   4208830.071   2334850.500   4171267.350      9.052   2.282   0.136   2.418   0.483  12.055  32.917
2017 191 56640   4208830.071   2334850.500   4171267.350      8.848   2.282   0.136   2.419   0.482  12.055  32.918
2017 191 56670   4208830.071   2334850.500   4171267.350      8.864   2.282   0.137   2.419   0.482  12.054  32.917
2017 191 56700   4208830.071   2334850.500   4171267.350      9.552   2.282   0.137   2.419   0.481  12.054  32.918
