Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDR)   (SDE)   (SDC)
2017 191  4140   4208830.133   2334850.494   4171267.379      7.546   2.282   0.170   2.453   0.899  12.348  32.170
2017 191  4170   4208830.132   2334850.494   4171267.380      7.375   2.282   0.170   2.452   0.897  12.343  32.167
2017 191  4200   4208830.132   2334850.494   4171267.380      7.626   2.282   0.169   2.452   0.893  12.335  32.160
2017 191  4230   4208830.132   2334850.494   4171267.380      7.403   2.282   0.169   2.452   0.890  12.328  32.154
2017 191  4260   4208830.133   2334850.494   4171267.381      7.122   2.282   0.169   2.451   0.887  12.324  32.151
2017 191  4290   4208830.133   2334850.494   4171267.381      7.115   2.282   0.169   2.451   0.888  12.325  32.149
2017 191  4320   4208830.133   2334850.494   4171267.381      7.031   2.282   0.168   2.451   0.890  12.328  32.150
2017 191  4350   4208830.132   2334850.494   4171267.381      7.236   2.282   0.168   2.450   0.889  12.331  32.152
2017 191  4380   4208830.132   2334850.495   4171267.382      7.412   2.282   0.168   2.450   0.896  12.335  32.155
2017 191  4410   4208830.132   2334850.495   4171267.382      7.522   2.282   0.168   2.450   0.900  12.337  32.160
2017 191  4440   4208830.132   2334850.496   4171267.382      7.633   2.282   0.168   2.450   0.900  12.336  32.165
2017 191  4470   4208830.132   2334850.496   4171267.383      7.581   2.282   0.168   2.450   0.899  12.335  32.166
2017 191  4500   4208830.131   2334850.496   4171267.383      7.569   2.282   0.167   2.450   0.897  12.334  32.167
2017 191  4530   4208830.130   2334850.496   4171267.383      7.607   2.282   0.168   2.450   0.894  12.333  32.167
2017 191  4560   4208830.129   2334850.497   4171267.383      7.295   2.282   0.168   2.450   0.892  12.332  32.167
2017 191  4590   4208830.128   2334850.497   4171267.383      7.470   2.282   0.168   2.450   0.890  12.332  32.167
2017 191  4620   4208830.128   2334850.497   4171267.383      7.492   2.282   0.168   2.450   0.889  12.333  32.167
2017 191  4650   4208830.126   2334850.498   4171267.383      7.629   2.282   0.168   2.450   0.888  12.334  32.167
2017 191  4680   4208830.125   2334850.498   4171267.383      7.823   2.282   0.168   2.451   0.890  12.338  32.169
2017 191  4710   4208830.124   2334850.498   4171267.383      7.599   2.282   0.168   2.451   0.891  12.343  32.173
2017 191  4740   4208830.123   2334850.498   4171267.383      7.609   2.282   0.168   2.451   0.892  12.347  32.176
2017 191  4770   4208830.123   2334850.498   4171267.383      7.618   2.282   0.168   2.451   0.890  12.350  32.178
2017 191  4800   4208830.122   2334850.498   4171267.384      7.638   2.282   0.168   2.451   0.887  12.350  32.180
2017 191  4830   4208830.122   2334850.498   4171267.384      6.843   2.282   0.168   2.450   0.885  12.351  32.182
2017 191  4860   4208830.122   2334850.499   4171267.384      6.477   2.282   0.168   2.450   0.887  12.353  32.183
2017 191  4890   4208830.121   2334850.500   4171267.385      6.708   2.282   0.168   2.450   0.889  12.355  32.187
2017 191  4920   4208830.120   2334850.500   4171267.385      6.916   2.282   0.168   2.450   0.891  12.358  32.191
2017 191  4950   4208830.119   2334850.501   4171267.385      6.792   2.282   0.167   2.450   0.893  12.361  32.197
2017 191  4980   4208830.119   2334850.501   4171267.385      6.646   2.282   0.167   2.449   0.895  12.363  32.201
2017 191  5010   4208830.118   2334850.501   4171267.385      6.670   2.282   0.167   2.449   0.896  12.365  32.206
2017 191  5040   4208830.118   2334850.501   4171267.385      6.568   2.282   0.167   2.449   0.897  12.367  32.210
2017 191  5070   4208830.117   2334850.502   4171267.385      6.557   2.282   0.167   2.449   0.894  12.367  32.215
2017 191  5100   4208830.117   2334850.502   4171267.385      6.365   2.282   0.166   2.449   0.893  12.368  32.220
2017 191  5130   4208830.116   2334850.503   4171267.386      6.444   2.282   0.166   2.449   0.892  12.369  32.225
2017 191  5160   4208830.115   2334850.503   4171267.386      6.739   2.282   0.166   2.448   0.888  12.372  32.228
2017 191  5190   4208830.115   2334850.504   4171267.386      6.792   2.282   0.166   2.448   0.883  12.375  32.233
2017 191  5220   4208830.114   2334850.505   4171267.386      6.575   2.282   0.166   2.448   0.880  12.379  32.239
2017 191  5250   4208830.113   2334850.506   4171267.386      6.534   2.282   0.165   2.448   0.876  12.380  32.246
2017 191  5280   4208830.112   2334850.507   4171267.386      6.697   2.282   0.165   2.447   0.874  12.381  32.254
2017 191  5310   4208830.111   2334850.508   4171267.386      6.419   2.282   0.165   2.447   0.871  12.381  32.261
2017 191  5340   4208830.111   2334850.509   4171267.386      6.519   2.282   0.165   2.447   0.867  12.379  32.266
2017 191  5370   4208830.110   2334850.510   4171267.386      6.666   2.282   0.165   2.447   0.865  12.375  32.270
2017 191  5400   4208830.110   2334850.511   4171267.386      6.669   2.282   0.164   2.447   0.864  12.372  32.273
2017 191  5430   4208830.109   2334850.512   4171267.386      6.407   2.282   0.164   2.447   0.862  12.370  32.273
2017 191  5460   4208830.109   2334850.513   4171267.387      6.649   2.282   0.164   2.447   0.859  12.369  32.278
2017 191  5490   4208830.108   2334850.514   4171267.387      6.615   2.282   0.164   2.447   0.857  12.367  32.282
2017 191  5520   4208830.108   2334850.514   4171267.387      6.798   2.282   0.164   2.447   0.857  12.367  32.286
2017 191  5550   4208830.108   2334850.514   4171267.387      6.756   2.282   0.164   2.446   0.854  12.368  32.288
2017 191  5580   4208830.108   2334850.515   4171267.387      6.485   2.282   0.164   2.446   0.850  12.368  32.290
2017 191  5610   4208830.108   2334850.516   4171267.387      6.428   2.282   0.164   2.446   0.846  12.368  32.292
2017 191  5640   4208830.108   2334850.516   4171267.387      6.633   2.282   0.164   2.446   0.843  12.366  32.294
2017 191  5670   4208830.108   2334850.516   4171267.387      6.441   2.282   0.163   2.446   0.843  12.366  32.297
2017 191  5700   4208830.107   2334850.516   4171267.387      6.404   2.282   0.163   2.446   0.845  12.367  32.303
2017 191  5730   4208830.107   2334850.517   4171267.387      6.656   2.282   0.163   2.446   0.835  12.368  32.310
2017 191  5760   4208830.106   2334850.518   4171267.387      6.858   2.282   0.163   2.445   0.833  12.369  32.317
2017 191  5790   4208830.106   2334850.518   4171267.387      6.989   2.282   0.163   2.445   0.829  12.371  32.322
2017 191  5820   4208830.106   2334850.519   4171267.387      6.923   2.282   0.163   2.445   0.827  12.372  32.328
2017 191  5850   4208830.105   2334850.519   4171267.387      6.654   2.282   0.162   2.445   0.821  12.372  32.333
2017 191  5880   4208830.105   2334850.520   4171267.388      6.576   2.282   0.162   2.445   0.819  12.372  32.340
2017 191  5910   4208830.104   2334850.520   4171267.388      6.940   2.282   0.162   2.445   0.817  12.372  32.347
2017 191  5940   4208830.104   2334850.521   4171267.388      6.737   2.282   0.162   2.444   0.816  12.373  32.356
2017 191  5970   4208830.103   2334850.521   4171267.388      6.739   2.282   0.162   2.444   0.817  12.375  32.366
2017 191  6000   4208830.103   2334850.521   4171267.387      6.830   2.282   0.162   2.444   0.817  12.378  32.376
2017 191  6030   4208830.102   2334850.522   4171267.388      6.829   2.282   0.162   2.444   0.814  12.379  32.383
2017 191  6060   4208830.102   2334850.523   4171267.388      6.945   2.282   0.162   2.444   0.810  12.379  32.387
2017 191  6090   4208830.101   2334850.523   4171267.388      6.775   2.282   0.161   2.444   0.804  12.377  32.391
2017 191  6120   4208830.101   2334850.524   4171267.388      6.778   2.282   0.161   2.444   0.797  12.373  32.397
2017 191  6150   4208830.101   2334850.524   4171267.388      6.629   2.282   0.162   2.444   0.792  12.369  32.403
2017 191  6180   4208830.101   2334850.524   4171267.388      6.664   2.282   0.162   2.444   0.788  12.366  32.408
2017 191  6210   4208830.101   2334850.525   4171267.388      6.480   2.282   0.161   2.444   0.784  12.365  32.414
2017 191  6240   4208830.100   2334850.525   4171267.387      6.983   2.282   0.161   2.444   0.781  12.366  32.422
2017 191  6270   4208830.100   2334850.526   4171267.387      7.538   2.282   0.161   2.444   0.781  12.368  32.430
2017 191  6300   4208830.099   2334850.526   4171267.387      7.525   2.282   0.161   2.444   0.782  12.373  32.440
2017 191  6330   4208830.099   2334850.526   4171267.387      7.489   2.282   0.161   2.444   0.784  12.376  32.447
2017 191  6360   4208830.099   2334850.527   4171267.387      7.017   2.282   0.161   2.444   0.785  12.378  32.450
2017 191  6390   4208830.098   2334850.527   4171267.387      6.764   2.282   0.161   2.443   0.783  12.378  32.450
2017 191  6420   4208830.098   2334850.528   4171267.387      6.326   2.282   0.161   2.443   0.780  12.376  32.450
2017 191  6450   4208830.098   2334850.528   4171267.387      6.512   2.282   0.161   2.443   0.776  12.375  32.449
2017 191  6480   4208830.098   2334850.528   4171267.387      6.182   2.282   0.161   2.443   0.771  12.376  32.449
2017 191  6510   4208830.097   2334850.529   4171267.387      6.776   2.282   0.161   2.443   0.766  12.378  32.449
2017 191  6540   4208830.097   2334850.529   4171267.387      6.735   2.282   0.161   2.443   0.760  12.380  32.448
2017 191  6570   4208830.097   2334850.530   4171267.387      7.664   2.282   0.161   2.443   0.755  12.382  32.447
2017 191  6600   4208830.097   2334850.530   4171267.387      6.772   2.282   0.161   2.443   0.749  12.384  32.446
2017 191  6630   4208830.096   2334850.531   4171267.387      7.333   2.282   0.161   2.443   0.744  12.384  32.445
2017 191  6660   4208830.096   2334850.531   4171267.387      7.247   2.282   0.161   2.443   0.743  12.383  32.445
2017 191  6690   4208830.095   2334850.531   4171267.387      7.929   2.282   0.161   2.443   0.744  12.380  32.447
