Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)
2017 191  5580   4208830.109   2334850.563   4171267.413      6.523   2.282   0.160   2.442
2017 191  5610   4208830.109   2334850.563   4171267.413      6.465   2.282   0.160   2.442
2017 191  5640   4208830.109   2334850.562   4171267.413      6.670   2.282   0.160   2.442
2017 191  5670   4208830.109   2334850.562   4171267.413      6.478   2.282   0.159   2.442
2017 191  5700   4208830.109   2334850.562   4171267.412      6.441   2.282   0.159   2.442
2017 191  5730   4208830.108   2334850.562   4171267.412      6.693   2.282   0.159   2.441
2017 191  5760   4208830.108   2334850.563   4171267.412      6.896   2.282   0.159   2.441
2017 191  5790   4208830.107   2334850.563   4171267.412      7.026   2.282   0.159   2.441
2017 191  5820   4208830.107   2334850.563   4171267.411      6.961   2.282   0.158   2.441
2017 191  5850   4208830.106   2334850.564   4171267.411      6.690   2.282   0.158   2.441
2017 191  5880   4208830.106   2334850.564   4171267.411      6.612   2.282   0.158   2.441
2017 191  5910   4208830.105   2334850.564   4171267.410      6.975   2.282   0.158   2.440
2017 191  5940   4208830.105   2334850.564   4171267.410      6.772   2.282   0.158   2.440
2017 191  5970   4208830.104   2334850.563   4171267.409      6.773   2.282   0.158   2.440
2017 191  6000   4208830.103   2334850.562   4171267.409      6.863   2.282   0.158   2.440
2017 191  6030   4208830.102   2334850.562   4171267.408      6.861   2.282   0.158   2.440
2017 191  6060   4208830.102   2334850.562   4171267.408      6.976   2.282   0.158   2.440
2017 191  6090   4208830.101   2334850.562   4171267.408      6.806   2.282   0.158   2.440
2017 191  6120   4208830.101   2334850.562   4171267.407      6.811   2.282   0.158   2.440
2017 191  6150   4208830.101   2334850.562   4171267.407      6.661   2.282   0.158   2.440
2017 191  6180   4208830.101   2334850.562   4171267.406      6.695   2.282   0.158   2.440
2017 191  6210   4208830.101   2334850.562   4171267.406      6.512   2.282   0.158   2.440
2017 191  6240   4208830.100   2334850.562   4171267.406      7.013   2.282   0.158   2.440
2017 191  6270   4208830.100   2334850.562   4171267.405      7.567   2.282   0.158   2.440
2017 191  6300   4208830.099   2334850.561   4171267.405      7.553   2.282   0.158   2.440
2017 191  6330   4208830.099   2334850.561   4171267.405      7.517   2.282   0.158   2.440
2017 191  6360   4208830.098   2334850.561   4171267.404      7.045   2.282   0.158   2.440
2017 191  6390   4208830.098   2334850.561   4171267.404      6.792   2.282   0.158   2.440
